title,summary,published,arxiv_url,pdf_url
制御可能な精度及び人間可読トポロジーIIとA多項式ニューラルネットワーク：加速アプローチ拡張レイヤに基づいて,どのようにニューラルネットワークのブラックボックスな性質を解決するために、ネットワークにテイラー級数の変換について？制御可能かつ読み取り可能な多項式ニューラルネットワーク（ギャング変換またはCR-PNN）順方向伝搬のために10回程度の典型的なBPNNよりも効率的であるネットワークの形態におけるテイラー展開です。また、我々は、近似精度を制御し、ネットワークの内部構造を説明することができます。したがって、予測及びシステム同定のために使用されます。しかし、ネットワークの深さが増加すると、計算の複雑さが増加するにつれて。ここで、我々は、CR-PNNを最適化するために拡張順序に基づいて加速する方法を提示しました。 CR-PNN IIの構造の走行速度は、CR-PNN Iの特性を保持下CR-PNN Iよりも有意に高いです,2020-06-04T17:56:24Z,http://arxiv.org/abs/2006.02901v1,http://arxiv.org/pdf/2006.02901v1
サンプル非同期Q-学習の複雑さ：シャープ分析と分散削減,非同期目的は行動のポリシーによって誘発されるマルコフサンプルの単一の軌跡に基づいて、マルコフ決定過程（MDP）の最適行動価値関数（またはQ-機能）を学ぶためにQは学習します。状態空間$ \ mathcal {S} $と行動空間$ \ mathcal {A} $とA $ \ガンマ$ -discounted MDPに焦点を当て、我々は$ \エル_ {\ inftyの} $ことを証明している - 古典非同期のベースのサンプル複雑Q学習は - すなわち、Q-機能の項目別$ \ varepsilon $ -accurate推定値を得るために必要なサンプル数は -  \始める{式*} \ FRAC {1} {のために最大である\ミュー_ {\ mathsf {分}}（1- \ガンマ）^ 5 \ varepsilon ^ 2} + \ FRAC {T _ {\ mathsf {混合}}} {\ミュー_ {\ mathsf {分}}（1- \ガンマ） } \端{いくつかの対数因子の方程式*}まで、適切な一定の学習率が採用されることを条件とします。ここで、$ tは_ {\ mathsf {混合}} $と$ \ミュー_ {\ mathsf {分}} $示すそれぞれ混合時間と試料軌道の最小状態アクション占有確率。このバウンドの最初の項は、軌道の定常分布から引き出された独立したサンプルの場合に複雑と一致します。第二項は非常に始まり、アルゴリズムの実行として償却なりで発生している定常状態に到達するためにマルコフ軌道の経験分布のために撮影した費用を反映しています。 \ mathcal {S} || \ mathcal {A} | | $幸い、結合した上記少なくとも$倍最先端の結果を改善します。さらに、割引の複雑さのスケーリングは、分散減少によって改善することができます。,2020-06-04T17:51:00Z,http://arxiv.org/abs/2006.03041v1,http://arxiv.org/pdf/2006.03041v1
四重確率ガウスプロセス,私たちは、そのあたりの反復複雑トレーニングポイントの数、$ N $、およびカーネル近似、$ M $で使用される個数基準の両方の機能とは独立したスケーラブルなガウス過程（GP）モデルをトレーニングするための確率的変分推論手順を紹介します。我々の中央の貢献は、ラプラスや物流などのいくつかの他の尤度のための下限ELBOそのガウス尤度の証拠下限（ELBO）、ならびに確率論的推定量の公正な確率論的推定量を含みます。 $ N $と$ M $上の確率的な最適化更新の複雑さの独立性は、大容量のGPモデルを使用して、巨大なデータセット上の推論を可能にします。私たちは$メートル= 10 ^ 7 $基底関数までにGPSと関連ベクターマシンを用いた大分類と回帰データセットに関する正確な推論を示しています。,2020-06-04T17:06:25Z,http://arxiv.org/abs/2006.03015v1,http://arxiv.org/pdf/2006.03015v1
非巡回をかけることなくのDAGを学びます,明示的に非巡回制約を課すことなく、データから非循環有向グラフ（DAG）を知ることができるならば、我々は探検します。具体的には、ガウス分布のために、私たちは、スパース行列の因数分解の問題として、構造的な学習をフレームと、私たちは経験的に$ \ ell_1 $ -penalized最適化の真のグラフの良好な回収に収率と、一般的には、ほとんど-DAGのグラフにを解決することを示しています。また、このアプローチは、計算上効率的であり、古典的な構造学習アルゴリズムのように組合せの複雑さの爆発によって影響されません。,2020-06-04T16:52:01Z,http://arxiv.org/abs/2006.03005v1,http://arxiv.org/pdf/2006.03005v1
微分直線バンディットアルゴリズム,（UCB）上限信頼はおそらく線形マルチアーム強盗の問題のために最も一般的に使用される方法です。概念的には、計算シンプルながら、この方法は非常にこれらの境界が正しく設定されていない場合は、最適な探査・開発を打つに失敗し、信頼限界に依存しています。文献では、信頼範囲は、典型的には、報酬の分布、例えば、サブガウス上の仮定に基づく濃度の不等式から誘導されます。これらの仮定の妥当性は、しかし、実際には不明です。この作品では、我々はそれが実際の問題構造に適応すること、データ駆動型の方法で信頼限界を学ぶことを目的としています。具体的には、既存のUCBに型指定されたアルゴリズムは、信頼限界に関して微分可能でないことを指摘し、我々は最初のアルゴリズム山賊線形微分小説を提案します。その後、我々は信頼限界が勾配上昇を介して学習することを可能にする勾配推定器を、ご紹介します。理論的には、我々は上$ D $ T $ -Round後悔の束縛提案したアルゴリズム達成せA $ \チルダ{\ mathcal {O}}（\帽子{\ベータ} \ SQRT {}のdT）$ $であることを示しています腕の機能と$ \帽子の次元は、{\ベータ} $はバインド自信の学んだサイズです。実証結果は、$ \帽子{\ベータ} $の両方をシミュレートし、実世界のデータセットにその理論的上限と提案したアルゴリズムよりも優れたベースラインのものよりも著しく小さい表示されます。,2020-06-04T16:43:55Z,http://arxiv.org/abs/2006.03000v1,http://arxiv.org/pdf/2006.03000v1
MHVAE：マルチモーダル表現学習のためのヒューマン・インスピレーションを得た深い階層的生成モデル,人間は、その外部の現実の豊かな表現を作成することができます。彼らの内部表現が可能な認識は、入力モダリティを行方不明の知覚的経験を誘導することができるクロスモダリティ推論、を可能とします。本稿では、マルチモーダル階層変オートエンコーダ（MHVAE）、表現の学習のための階層的なマルチモーダル生成モデルに貢献します。人間の認知モデルに触発され、MHVAEクロスモダリティ推論する責任モダリティの任意の数、及び関節モダリティ分布の、モダリティ固有の分布を知ることができます。我々は正式に、モデルの証拠下限を導出し、モダリティ固有表現のドロップアウトに基づいて共同モダリティ後方に近似する新しい手法を提案します。私たちは、標準のマルチモーダルデータセットでMHVAEを評価します。任意の入力モダリティとモダリティ推論から関節モダリティ再構成に関する他の最先端の生成モデルと同等の我々のモデル行います。,2020-06-04T16:24:00Z,http://arxiv.org/abs/2006.02991v1,http://arxiv.org/pdf/2006.02991v1
差分プライバシーを中央値回帰,中央値回帰分析は、差分プライバシーが特定のデータセットの統計分析の際に、個人のプライバシーを保護することができますが、平均値に基づいて回帰と比較して、それが魅力的に堅牢性を有しています。本論文では、3つのプライバシー保存の方法は、中央値回帰のために提案されています。最初のアルゴリズムは、有限の平滑化方法に基づいて、第2の反復方法を提供し、最後のものは、さらに貪欲座標降下アプローチを採用しています。これらの3つの方法のプライバシー保存プロパティは、すべての証明されています。精度が結合した、またはこれらのアルゴリズムの収束性も提供されます。第1の方法は、サンプルサイズが小さい他のものよりも良好な精度を有していることを数値計算を示しています。サンプルサイズが大きくなると第2の方法は、よく整合精度でより少ない時間を必要としながら、第一の方法は、より多くの時間を必要とします。それは高度にステップサイズに依存しながら、第三の方法のために、それは、両方の場合において、より少ない時間がかかり。,2020-06-04T16:14:39Z,http://arxiv.org/abs/2006.02983v1,http://arxiv.org/pdf/2006.02983v1
貯水池コンピューティングニューラルネットワークにおけるスパース,貯水池コンピューティング（RC）は、研修の印象的な効率によって特色リカレントニューラルネットワークを設計するためのよく知られた戦略です。 RCの重要な態様は、適切にシステムに動的メモリとして隠された再発性層をインスタンス化することです。この点で、共通のレシピがランダムとまばらに接続再発性神経細胞のプールを作成することです。 RCシステムの設計におけるスパースの態様は文献において議論されてきたが、それは最近、計算の効率を高めるための方法として主に理解スパース行列演算を利用します。本稿では、経験的に開発し、時間的表現の豊かさの観点の下でRCネットワーク設計におけるスパース性の役割を調べます。我々は、再発性の接続で、リザーバへの入力からの接続の両方スパースを分析します。我々の結果は、入力貯水池接続で、特に、そのスパース性を指摘し、過去の入力と高次元の長い短期記憶を持っている内部の一時的な表現を開発する上で主要な役割を担っています。,2020-06-04T15:38:17Z,http://arxiv.org/abs/2006.02957v1,http://arxiv.org/pdf/2006.02957v1
モデルベースのクラスタリングにおける欠損データの取り扱い,ガウス混合モデル（のGMM）は、クラスタリング構造がデータに埋め込まれ、クラスタリング、分類および密度推定のための強力なツールです。欠損値の存在は、主に遺伝子組換え微生物推定処理に影響を与えることができ、したがって欠落データを処理することは、クラスタリング、分類と密度推定に重要なポイントであることが判明しました。いくつかの技術は、モデル推定の前に欠損値を転嫁するために開発されています。これらのうち、多重代入は、失われたデータを処理するためのシンプルかつ有用な一般的なアプローチです。本論文では、失われたデータの存在下でガウスの混合物を合わせて2種類の方法を提案します。両方の方法は、データの増強のためのモンテカルロ期待値最大化（MCEM）アルゴリズムの変形を使用します。このように、複数のインピューテーションは、与えられた固有分解成分共分散行列のための標準的なM-工程が続くE-ステップの間に実行されます。我々は、提案された方法は、両方のクラスタの識別と密度推定の観点から、多重代入アプローチを上回ることを示します。,2020-06-04T15:36:31Z,http://arxiv.org/abs/2006.02954v1,http://arxiv.org/pdf/2006.02954v1
低ランク一般化線形バンディット問題,山賊の問題直鎖状低ランクでは、アクションの報酬は、（\サイズの$ D_1の行列によって表される時間は$をD_2）アクションと、未知の低ランク行列$ \シータ^ * $との内積です。私たちは、オンライン・ツー・自信・セット変換の新規な組み合わせ〜\ citep {} abbasi2012onlineと低ランク行列の被覆により構築指数関数的に加重平均予報に基づいたアルゴリズムを提案します。 $ Tの$ラウンドで、私たちのアルゴリズム達成せ$ \ widetilde {O}（（D_1 + D_2）^ {3/2} \ SQRT {}をrT）$ \ widetildeの下限標準リニア山賊の後悔を改良$後悔{O }（d_1d_2 \ SQRT {T}）$ $ \シータのランク^ * $：$ R \ LL \分\ {D_1、D_2 \} $。また、リンク機能の規則性の条件の下で拘束同様のを楽しんでいたアルゴリズムを取得するために一般化線形の設定に私達のアルゴリズムのアプローチを拡張します。ベースのアプローチをカバーする計算扱いにくさを回避するために、我々は〜\ citet {} jun2019bilinearの「探検部分空間-THEN-絞り込み」アルゴリズムを拡張することにより、効率的なアルゴリズムを提案します。私たちの効率的なアルゴリズムは、$ \ widetilde {O}を実現（（D_1 + D_2）^ {3/2} \ SQRT {}をrT）アクションで設定された穏やかな条件の下で$後悔$ \ mathcal {X} $と$ R $ $ \シータ^ * $番目の特異値。私たちの上限は、山賊の問題直鎖状低ランクのサブクラスのための{jun2019bilinear}を引用\の下限推測と一致します。さらに、我々は、スパース線形山賊問題に対する既存の下限が強く残念境界がunimprovableであることを示唆していることを示しています。私たちの理論的な貢献を補完するために、我々はまた、私たちのアルゴリズムは、標準的な線形山賊のアプローチのパフォーマンスを上回る大幅にできることを実証する実験を行う際に$ \シータ^ * $は低ランクです。,2020-06-04T15:30:14Z,http://arxiv.org/abs/2006.02948v1,http://arxiv.org/pdf/2006.02948v1
